m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
3764.9358067924672,37.64935806792467,100.0,0.12403421398562192,5.752574865105114e9,2.317824629718945e-13,8.285386956423405e-23,17.960303691930157,0.004891259282991,7.210954874270062e-15,0.9999999992738821,1.2487212934090691e-10
4328.76128108306,43.287612810830595,100.0,0.12403421398562192,5.073607011079082e9,2.659405021261619e-13,1.059838527949283e-22,17.86246847526121,0.005654561687922645,8.251753622412151e-15,0.9999999990229541,1.8365319362100562e-10
4977.023564332111,49.770235643321115,100.0,0.12403421398562192,4.47477672285808e9,3.0512745281162707e-13,1.3437859519790514e-22,17.76466829280153,0.006537163988672589,9.442882078623765e-15,0.9999999986852216,2.677287058752901e-10
5722.367659350217,57.22367659350217,100.0,0.12403421398562192,3.9466254827596054e9,3.5004400729277954e-13,1.735870743519284e-22,17.67155174079881,0.007555754809196481,1.080606800803834e-14,0.9999999982318629,3.976383711338657e-10
6579.332246575679,65.79332246575679,100.0,0.12403421398562192,3.4808111478731055e9,4.0155881545834823e-13,2.2446509895686535e-22,17.577873557765322,0.008733579287369495,1.2366181610975158e-14,0.9999999976218102,5.911882407815903e-10
7564.633275546291,75.64633275546291,100.0,0.12403421398562192,3.069976186006319e9,4.607068839661257e-13,2.9027175221561226e-22,17.480177361717764,0.010097615493839671,1.4151690289075618e-14,0.9999999967990805,8.789978193134746e-10
8697.490026177835,86.97490026177834,100.0,0.12403421398562192,2.707631463546868e9,5.285643281497608e-13,3.753699742508858e-22,17.382517592513853,0.011675031126190286,1.6195179263674296e-14,0.9999999956914004,1.3069188255033304e-9
10000.0,100.0,100.0,0.12403421398562192,2.388053749669661e9,6.064063160783051e-13,4.854121530923407e-22,17.285459981742992,0.013498821181489032,1.8533947587630955e-14,0.9999999942004505,1.943147591368662e-9
11497.569953977356,114.97569953977356,100.0,0.12403421398562192,2.1061953179702415e9,6.956889156022899e-13,6.22888159815954e-22,17.19295529931632,0.01560386958431397,2.1210690475034724e-14,0.9999999921983902,2.8668916424337363e-9
13219.411484660288,132.19411484660287,100.0,0.12403421398562192,1.8576042176828754e9,7.981101024162349e-13,8.010252049767724e-22,17.09798018137763,0.018040314199102115,2.427428045700361e-14,0.9999999895002386,4.238902663511429e-9
15199.11082952933,151.99110829529332,100.0,0.12403421398562192,1.6383539551681612e9,9.15609913548926e-13,1.0358293265218303e-21,17.000466653363564,0.020860952030720713,2.778066168535857e-14,0.9999999858619041,6.302335576211403e-9
17475.28400007683,174.7528400007683,100.00000000000001,0.12403421398562192,1.4449814749900594e9,1.0503931900461184e-12,1.3394517996265097e-21,16.902991420214743,0.024123341042509922,3.179387378259359e-14,0.9999999809607377,9.370148418203524e-9
