x,sigma_eff
0.1,0.12603141842736898
0.10232929922807542,0.12603923484171764
0.10471285480508996,0.12604723682905014
0.10715193052376065,0.12605542887700757
0.1096478196143185,0.12606381558553426
0.11220184543019636,0.12607240166985959
0.1148153621496883,0.12608119196356543
0.11748975549395298,0.12609019142174438
0.12022644346174129,0.12609940512425002
0.12302687708123815,0.1261088382790419
0.12589254117941673,0.12611849622562996
0.1288249551693134,0.1261283844386206
0.1318256738556407,0.12613850853136743
0.13489628825916536,0.1261488742597316
0.1380384264602885,0.12615948752595402
0.14125375446227545,0.12617035438264368
0.14454397707459277,0.1261814810368863
0.14791083881682077,0.1261928738544772
0.1513561248436208,0.12620453936428228
0.1548816618912481,0.12621648426273177
0.15848931924611134,0.12622871541845154
0.16218100973589297,0.12624123987703686
0.16595869074375605,0.12625406486597207
0.16982436524617442,0.12626719779970286
0.17378008287493754,0.1262806462848662
0.1778279410038923,0.12629441812568332
0.18197008586099836,0.1263085213295197
0.18620871366628675,0.12632296411262167
0.19054607179632474,0.12633775490603205
0.19498445997580455,0.1263529023616943
0.19952623149688797,0.1263684153587489
0.20417379446695297,0.12638430301003145
0.20892961308540398,0.12640057466877863
0.21379620895022325,0.12641723993554863
0.2187761623949553,0.1264343086653661
0.223872113856834,0.12645179097509668
0.2290867652767773,0.126469697251063
0.2344228815319922,0.12648803815690676
0.23988329190194904,0.12650682464171092
0.24547089156850305,0.12652606794838692
0.251188643150958,0.1265457796223388
0.2570395782768864,0.12656597152041577
0.26302679918953814,0.1265866558201603
0.26915348039269155,0.12660784502936717
0.2754228703338166,0.12662955199596115
0.28183829312644537,0.12665178991820766
0.28840315031266056,0.126674572355268
0.29512092266663853,0.12669791323811272
0.3019951720402016,0.1267218268808055
0.30902954325135906,0.12674632799217367
0.31622776601683794,0.12677143168787725
0.32359365692962827,0.12679715350289492
0.3311311214825911,0.1268235094044396
0.33884415613920255,0.12685051580532297
0.34673685045253166,0.12687818957778443
0.35481338923357547,0.12690654806780333
0.3630780547701014,0.12693560910991186
0.37153522909717257,0.12696539104253096
0.38018939632056115,0.12699591272384497
0.38904514499428056,0.1270271935482413
0.3981071705534972,0.1270592534633321
0.40738027780411273,0.12709211298758555
0.4168693834703354,0.12712579322858572
0.42657951880159267,0.1271603159019518
0.436515832240166,0.1271957033509354
0.44668359215096315,0.12723197856672971
0.4570881896148751,0.1272691652095138
0.46773514128719823,0.1273072876302642
0.4786300923226384,0.12734637089336232
0.48977881936844625,0.1273864408000303
0.5011872336272724,0.12742752391262938
0.5128613839913648,0.12746964757985274
0.5248074602497725,0.12751283996285065
0.5370317963702527,0.12755713006232633
0.5495408738576245,0.12760254774663715
0.5623413251903491,0.12764912378094748
0.5754399373371569,0.1276968898574704
0.588843655355589,0.12774587862684655
0.6025595860743578,0.12779612373070226
0.6165950018614822,0.12784765983543722
0.6309573444801934,0.1279005226672919
0.6456542290346556,0.1279547490487433
0.6606934480075961,0.12801037693628725
0.6760829753919819,0.12806744545966087
0.6918309709189364,0.12812599496256388
0.7079457843841379,0.12818606704494195
0.72443596007499,0.12824770460689208
0.7413102413009175,0.12831095189426103
0.7585775750291838,0.12837585454600034
0.7762471166286917,0.12844245964335368
0.7943282347242815,0.12851081576095033
0.8128305161640993,0.1285809730198813
0.8317637711026711,0.1286529831428402
0.8511380382023765,0.128726899511413
0.8709635899560808,0.12880277722560432
0.8912509381337457,0.12888067316569074
0.9120108393559097,0.12896064605649787
0.933254300796991,0.1290427565341966
0.9549925860214359,0.12912706721572575
0.9772372209558107,0.12921364277094366
1.,0.129302549997622
1.023292992280754,0.12939385789939692
1.0471285480508996,0.12948763776679667
1.0715193052376064,0.12958396326147179
1.096478196143185,0.12968291050375466
1.1220184543019636,0.12978455816368636
1.1481536214968828,0.12988898755564768
1.1748975549395297,0.1299962827367399
1.2022644346174132,0.1301065306090664
1.2302687708123818,0.13021982102607113
1.2589254117941675,0.13033624690309342
1.2882495516931343,0.130455904332311
1.3182567385564075,0.13057889270224154
1.348962882591654,0.13070531482198416
1.3803842646028852,0.13083527705038764
1.4125375446227548,0.13096888943033902
1.4454397707459272,0.13110626582836993
1.4791083881682072,0.1312475240797911
1.513561248436208,0.13139278613956507
1.5488166189124812,0.13154217823914052
1.5848931924611134,0.13169583104947444
1.6218100973589298,0.13185387985047828
1.6595869074375604,0.13201646470713085
1.6982436524617444,0.13218373065250727
1.7378008287493754,0.1323558278779815
1.7782794100389228,0.13253291193086858
1.8197008586099834,0.13271514391977846
1.8620871366628675,0.13290269072796032
1.9054607179632472,0.1330957252349274
1.9498445997580456,0.13329442654665372
1.9952623149688797,0.13349898023464785
2.0417379446695296,0.1337095785842102
2.0892961308540396,0.13392642085219086
2.1379620895022327,0.13414971353456906
2.187761623949553,0.13437967064418338
2.23872113856834,0.13461651399894622
2.2908676527677736,0.1348604735208828
2.344228815319923,0.13511178754633632
2.3988329190194912,0.1353707031476909
2.454708915685031,0.13563747646696075
2.511886431509581,0.13591237306160142
2.5703957827688635,0.13619566826289864
2.6302679918953813,0.13648764754729106
2.691534803926915,0.13678860692098238
2.7542287033381663,0.13709885331819824
2.8183829312644537,0.13741870501343764
2.8840315031266055,0.13774849204806533
2.9512092266663856,0.13808855667158587
3.019951720402016,0.13843925379792896
3.0902954325135905,0.13880095147706759
3.1622776601683795,0.13917403138227777
3.2359365692962827,0.1395588893133313
3.311311214825911,0.13995593571589696
3.3884415613920256,0.1403655962174056
3.4673685045253166,0.14078831217960566
3.548133892335755,0.14122454126801767
3.630780547701014,0.14167475803845425
